State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Rajasthan,Udaipur,Dowry,Legal Clinic - Udaipur 56,Legal Clinic,+91-9246494801,Dowry Udaipur Rajasthan
Kerala,Kochi,Cyber Crime,Legal Aid NGO - Kochi 9,Legal Aid NGO,+91-9286257248,Cyber Crime Kochi Kerala
Punjab,Amritsar,Dowry,Cyber Helpline - Amritsar 60,Cyber Helpline,+91-7655030058,Dowry Amritsar Punjab
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 49,Cyber Helpline,+91-9663770616,Dowry Nizamabad Telangana
Madhya Pradesh,Indore,Caste Discrimination,Cyber Helpline - Indore 15,Cyber Helpline,+91-8866585806,Caste Discrimination Indore Madhya Pradesh
Maharashtra,Pune,Domestic Violence,District Legal Services Authority - Pune 53,District Legal Services Authority,+91-7167916165,Domestic Violence Pune Maharashtra
West Bengal,Kolkata,Child Abuse,Legal Clinic - Kolkata 38,Legal Clinic,+91-8555161904,Child Abuse Kolkata West Bengal
Telangana,Hyderabad,Domestic Violence,Cyber Helpline - Hyderabad 49,Cyber Helpline,+91-7361956167,Domestic Violence Hyderabad Telangana
Bihar,Bhagalpur,Dowry,Cyber Helpline - Bhagalpur 83,Cyber Helpline,+91-7241383141,Dowry Bhagalpur Bihar
Punjab,Chandigarh,Caste Discrimination,Elder Help NGO - Chandigarh 72,Elder Help NGO,+91-9328001766,Caste Discrimination Chandigarh Punjab
Jharkhand,Ranchi,Cyber Crime,Childline - Ranchi 9,Childline,+91-7336713482,Cyber Crime Ranchi Jharkhand
Kerala,Thiruvananthapuram,Cyber Crime,Cyber Helpline - Thiruvananthapuram 5,Cyber Helpline,+91-8743279000,Cyber Crime Thiruvananthapuram Kerala
Bihar,Gaya,Senior Citizen Abuse,Women's Helpline - Gaya 32,Women's Helpline,+91-8507525137,Senior Citizen Abuse Gaya Bihar
Gujarat,Surat,Property Dispute,Elder Help NGO - Surat 11,Elder Help NGO,+91-8337053259,Property Dispute Surat Gujarat
Bihar,Gaya,Dowry,Elder Help NGO - Gaya 28,Elder Help NGO,+91-9960137060,Dowry Gaya Bihar
Kerala,Kozhikode,Senior Citizen Abuse,Cyber Helpline - Kozhikode 5,Cyber Helpline,+91-8661302817,Senior Citizen Abuse Kozhikode Kerala
Rajasthan,Udaipur,Senior Citizen Abuse,Elder Help NGO - Udaipur 56,Elder Help NGO,+91-7015723645,Senior Citizen Abuse Udaipur Rajasthan
Jharkhand,Ranchi,Cyber Crime,Legal Aid NGO - Ranchi 25,Legal Aid NGO,+91-9036148562,Cyber Crime Ranchi Jharkhand
Madhya Pradesh,Bhopal,Caste Discrimination,Elder Help NGO - Bhopal 5,Elder Help NGO,+91-9105269554,Caste Discrimination Bhopal Madhya Pradesh
Chhattisgarh,Bilaspur,Sexual Harassment,Women's Helpline - Bilaspur 22,Women's Helpline,+91-7736060911,Sexual Harassment Bilaspur Chhattisgarh
Madhya Pradesh,Indore,Caste Discrimination,Elder Help NGO - Indore 16,Elder Help NGO,+91-8351901268,Caste Discrimination Indore Madhya Pradesh
Odisha,Cuttack,Child Abuse,Elder Help NGO - Cuttack 54,Elder Help NGO,+91-9402014254,Child Abuse Cuttack Odisha
Karnataka,Bengaluru,Domestic Violence,Legal Aid NGO - Bengaluru 23,Legal Aid NGO,+91-8262322766,Domestic Violence Bengaluru Karnataka
Andhra Pradesh,Guntur,Child Abuse,Elder Help NGO - Guntur 10,Elder Help NGO,+91-7929084839,Child Abuse Guntur Andhra Pradesh
West Bengal,Siliguri,Domestic Violence,Women's Helpline - Siliguri 56,Women's Helpline,+91-8345856469,Domestic Violence Siliguri West Bengal
Madhya Pradesh,Bhopal,Senior Citizen Abuse,District Legal Services Authority - Bhopal 70,District Legal Services Authority,+91-8205930958,Senior Citizen Abuse Bhopal Madhya Pradesh
Telangana,Hyderabad,Property Dispute,Elder Help NGO - Hyderabad 21,Elder Help NGO,+91-7437873666,Property Dispute Hyderabad Telangana
Delhi,New Delhi,Cyber Crime,Legal Clinic - New Delhi 96,Legal Clinic,+91-7549923948,Cyber Crime New Delhi Delhi
Odisha,Rourkela,Senior Citizen Abuse,District Legal Services Authority - Rourkela 88,District Legal Services Authority,+91-9209388142,Senior Citizen Abuse Rourkela Odisha
Haryana,Gurgaon,Senior Citizen Abuse,Legal Clinic - Gurgaon 3,Legal Clinic,+91-9668878029,Senior Citizen Abuse Gurgaon Haryana
Karnataka,Bengaluru,Child Abuse,Legal Aid NGO - Bengaluru 43,Legal Aid NGO,+91-7794040594,Child Abuse Bengaluru Karnataka
Madhya Pradesh,Jabalpur,Dowry,Cyber Helpline - Jabalpur 53,Cyber Helpline,+91-8357226397,Dowry Jabalpur Madhya Pradesh
Gujarat,Surat,Cyber Crime,Legal Clinic - Surat 70,Legal Clinic,+91-7269258099,Cyber Crime Surat Gujarat
Telangana,Nizamabad,Property Dispute,Childline - Nizamabad 71,Childline,+91-8327711403,Property Dispute Nizamabad Telangana
Chhattisgarh,Durg,Cyber Crime,Women's Helpline - Durg 94,Women's Helpline,+91-7575118414,Cyber Crime Durg Chhattisgarh
Assam,Dibrugarh,Caste Discrimination,Cyber Helpline - Dibrugarh 23,Cyber Helpline,+91-8168646736,Caste Discrimination Dibrugarh Assam
Jharkhand,Ranchi,Cyber Crime,Cyber Helpline - Ranchi 53,Cyber Helpline,+91-7576946883,Cyber Crime Ranchi Jharkhand
Telangana,Hyderabad,Property Dispute,Legal Aid NGO - Hyderabad 43,Legal Aid NGO,+91-9836719798,Property Dispute Hyderabad Telangana
Jharkhand,Dhanbad,Senior Citizen Abuse,Women's Helpline - Dhanbad 91,Women's Helpline,+91-9569126904,Senior Citizen Abuse Dhanbad Jharkhand
Rajasthan,Udaipur,Child Abuse,Cyber Helpline - Udaipur 55,Cyber Helpline,+91-7748429906,Child Abuse Udaipur Rajasthan
Uttar Pradesh,Varanasi,Property Dispute,Cyber Helpline - Varanasi 88,Cyber Helpline,+91-9035323201,Property Dispute Varanasi Uttar Pradesh
Maharashtra,Nagpur,Dowry,Childline - Nagpur 63,Childline,+91-7842261737,Dowry Nagpur Maharashtra
Kerala,Kochi,Cyber Crime,Cyber Helpline - Kochi 95,Cyber Helpline,+91-9368881291,Cyber Crime Kochi Kerala
Jharkhand,Ranchi,Property Dispute,Elder Help NGO - Ranchi 53,Elder Help NGO,+91-8002292124,Property Dispute Ranchi Jharkhand
Karnataka,Mysore,Domestic Violence,Childline - Mysore 44,Childline,+91-7372776704,Domestic Violence Mysore Karnataka
Kerala,Kozhikode,Dowry,Elder Help NGO - Kozhikode 19,Elder Help NGO,+91-7659533707,Dowry Kozhikode Kerala
Jammu & Kashmir,Srinagar,Sexual Harassment,District Legal Services Authority - Srinagar 91,District Legal Services Authority,+91-7308233912,Sexual Harassment Srinagar Jammu & Kashmir
Karnataka,Mysore,Child Abuse,Elder Help NGO - Mysore 11,Elder Help NGO,+91-8002390346,Child Abuse Mysore Karnataka
Uttar Pradesh,Kanpur,Sexual Harassment,Women's Helpline - Kanpur 77,Women's Helpline,+91-7707437286,Sexual Harassment Kanpur Uttar Pradesh
Uttar Pradesh,Varanasi,Property Dispute,Elder Help NGO - Varanasi 63,Elder Help NGO,+91-9197129902,Property Dispute Varanasi Uttar Pradesh
Haryana,Gurgaon,Cyber Crime,Childline - Gurgaon 98,Childline,+91-8914805146,Cyber Crime Gurgaon Haryana
Assam,Dibrugarh,Caste Discrimination,Legal Aid NGO - Dibrugarh 42,Legal Aid NGO,+91-8100607172,Caste Discrimination Dibrugarh Assam
Madhya Pradesh,Indore,Caste Discrimination,Women's Helpline - Indore 34,Women's Helpline,+91-7840685927,Caste Discrimination Indore Madhya Pradesh
Madhya Pradesh,Indore,Domestic Violence,Legal Clinic - Indore 58,Legal Clinic,+91-8264516540,Domestic Violence Indore Madhya Pradesh
West Bengal,Siliguri,Child Abuse,Elder Help NGO - Siliguri 55,Elder Help NGO,+91-8422075393,Child Abuse Siliguri West Bengal
Bihar,Bhagalpur,Dowry,Women's Helpline - Bhagalpur 97,Women's Helpline,+91-9740097979,Dowry Bhagalpur Bihar
Odisha,Rourkela,Senior Citizen Abuse,Elder Help NGO - Rourkela 35,Elder Help NGO,+91-9104106348,Senior Citizen Abuse Rourkela Odisha
Delhi,New Delhi,Child Abuse,Cyber Helpline - New Delhi 10,Cyber Helpline,+91-9254067907,Child Abuse New Delhi Delhi
Rajasthan,Udaipur,Cyber Crime,Elder Help NGO - Udaipur 14,Elder Help NGO,+91-8035827039,Cyber Crime Udaipur Rajasthan
Punjab,Ludhiana,Senior Citizen Abuse,Childline - Ludhiana 54,Childline,+91-8516792266,Senior Citizen Abuse Ludhiana Punjab
Gujarat,Ahmedabad,Cyber Crime,Legal Aid NGO - Ahmedabad 53,Legal Aid NGO,+91-7268300207,Cyber Crime Ahmedabad Gujarat
Telangana,Warangal,Sexual Harassment,Elder Help NGO - Warangal 87,Elder Help NGO,+91-9136587130,Sexual Harassment Warangal Telangana
Jharkhand,Dhanbad,Caste Discrimination,Legal Clinic - Dhanbad 6,Legal Clinic,+91-7292032160,Caste Discrimination Dhanbad Jharkhand
Telangana,Nizamabad,Senior Citizen Abuse,Childline - Nizamabad 74,Childline,+91-7075210798,Senior Citizen Abuse Nizamabad Telangana
Odisha,Bhubaneswar,Dowry,Elder Help NGO - Bhubaneswar 28,Elder Help NGO,+91-9555718596,Dowry Bhubaneswar Odisha
Uttar Pradesh,Varanasi,Dowry,District Legal Services Authority - Varanasi 5,District Legal Services Authority,+91-7165706633,Dowry Varanasi Uttar Pradesh
Rajasthan,Udaipur,Caste Discrimination,Cyber Helpline - Udaipur 32,Cyber Helpline,+91-9057823744,Caste Discrimination Udaipur Rajasthan
Haryana,Gurgaon,Property Dispute,Elder Help NGO - Gurgaon 86,Elder Help NGO,+91-8013523478,Property Dispute Gurgaon Haryana
Odisha,Bhubaneswar,Child Abuse,Legal Clinic - Bhubaneswar 66,Legal Clinic,+91-9537993650,Child Abuse Bhubaneswar Odisha
Delhi,New Delhi,Cyber Crime,Childline - New Delhi 82,Childline,+91-7266116169,Cyber Crime New Delhi Delhi
Uttar Pradesh,Kanpur,Caste Discrimination,Elder Help NGO - Kanpur 23,Elder Help NGO,+91-8838944805,Caste Discrimination Kanpur Uttar Pradesh
Chhattisgarh,Durg,Sexual Harassment,Women's Helpline - Durg 87,Women's Helpline,+91-7069717771,Sexual Harassment Durg Chhattisgarh
Maharashtra,Pune,Child Abuse,Legal Clinic - Pune 73,Legal Clinic,+91-7828818329,Child Abuse Pune Maharashtra
Punjab,Amritsar,Caste Discrimination,Cyber Helpline - Amritsar 48,Cyber Helpline,+91-7535785152,Caste Discrimination Amritsar Punjab
Telangana,Nizamabad,Property Dispute,Elder Help NGO - Nizamabad 83,Elder Help NGO,+91-7805119886,Property Dispute Nizamabad Telangana
Tamil Nadu,Coimbatore,Sexual Harassment,Legal Aid NGO - Coimbatore 77,Legal Aid NGO,+91-8295620291,Sexual Harassment Coimbatore Tamil Nadu
Delhi,New Delhi,Property Dispute,Elder Help NGO - New Delhi 88,Elder Help NGO,+91-9584180998,Property Dispute New Delhi Delhi
Maharashtra,Nagpur,Child Abuse,Elder Help NGO - Nagpur 13,Elder Help NGO,+91-9044625135,Child Abuse Nagpur Maharashtra
Bihar,Gaya,Child Abuse,District Legal Services Authority - Gaya 47,District Legal Services Authority,+91-7966617431,Child Abuse Gaya Bihar
Assam,Silchar,Property Dispute,Legal Clinic - Silchar 50,Legal Clinic,+91-9391602032,Property Dispute Silchar Assam
Gujarat,Surat,Property Dispute,Elder Help NGO - Surat 82,Elder Help NGO,+91-7807671391,Property Dispute Surat Gujarat
Jammu & Kashmir,Jammu,Caste Discrimination,Legal Aid NGO - Jammu 8,Legal Aid NGO,+91-8163263432,Caste Discrimination Jammu Jammu & Kashmir
West Bengal,Siliguri,Domestic Violence,District Legal Services Authority - Siliguri 49,District Legal Services Authority,+91-9574162815,Domestic Violence Siliguri West Bengal
Assam,Silchar,Senior Citizen Abuse,Childline - Silchar 87,Childline,+91-9132816324,Senior Citizen Abuse Silchar Assam
Madhya Pradesh,Bhopal,Sexual Harassment,Legal Clinic - Bhopal 78,Legal Clinic,+91-8577498427,Sexual Harassment Bhopal Madhya Pradesh
Madhya Pradesh,Jabalpur,Property Dispute,Legal Aid NGO - Jabalpur 81,Legal Aid NGO,+91-8547891009,Property Dispute Jabalpur Madhya Pradesh
Assam,Silchar,Sexual Harassment,District Legal Services Authority - Silchar 89,District Legal Services Authority,+91-8347641757,Sexual Harassment Silchar Assam
Gujarat,Vadodara,Senior Citizen Abuse,Legal Clinic - Vadodara 85,Legal Clinic,+91-8428972070,Senior Citizen Abuse Vadodara Gujarat
Jharkhand,Jamshedpur,Sexual Harassment,Legal Clinic - Jamshedpur 13,Legal Clinic,+91-9594697364,Sexual Harassment Jamshedpur Jharkhand
Rajasthan,Jaipur,Cyber Crime,District Legal Services Authority - Jaipur 3,District Legal Services Authority,+91-8100144580,Cyber Crime Jaipur Rajasthan
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Women's Helpline - Visakhapatnam 19,Women's Helpline,+91-9777563072,Sexual Harassment Visakhapatnam Andhra Pradesh
Punjab,Ludhiana,Cyber Crime,Legal Aid NGO - Ludhiana 71,Legal Aid NGO,+91-9586175042,Cyber Crime Ludhiana Punjab
Kerala,Thiruvananthapuram,Domestic Violence,Women's Helpline - Thiruvananthapuram 35,Women's Helpline,+91-8559780685,Domestic Violence Thiruvananthapuram Kerala
Delhi,New Delhi,Dowry,District Legal Services Authority - New Delhi 42,District Legal Services Authority,+91-8890958601,Dowry New Delhi Delhi
Punjab,Amritsar,Senior Citizen Abuse,Legal Clinic - Amritsar 37,Legal Clinic,+91-9231665565,Senior Citizen Abuse Amritsar Punjab
Jammu & Kashmir,Jammu,Sexual Harassment,Elder Help NGO - Jammu 54,Elder Help NGO,+91-8801132820,Sexual Harassment Jammu Jammu & Kashmir
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 93,District Legal Services Authority,+91-7033586395,Dowry Coimbatore Tamil Nadu
Odisha,Bhubaneswar,Caste Discrimination,Legal Clinic - Bhubaneswar 85,Legal Clinic,+91-8926346288,Caste Discrimination Bhubaneswar Odisha
Odisha,Rourkela,Sexual Harassment,Cyber Helpline - Rourkela 49,Cyber Helpline,+91-9690038996,Sexual Harassment Rourkela Odisha
Uttar Pradesh,Varanasi,Domestic Violence,Elder Help NGO - Varanasi 60,Elder Help NGO,+91-9773499621,Domestic Violence Varanasi Uttar Pradesh
West Bengal,Siliguri,Dowry,District Legal Services Authority - Siliguri 26,District Legal Services Authority,+91-8425471002,Dowry Siliguri West Bengal
Odisha,Cuttack,Property Dispute,Childline - Cuttack 65,Childline,+91-8471740395,Property Dispute Cuttack Odisha
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 91,Legal Aid NGO,+91-7722353429,Senior Citizen Abuse Nizamabad Telangana
Punjab,Amritsar,Dowry,Cyber Helpline - Amritsar 10,Cyber Helpline,+91-7251354503,Dowry Amritsar Punjab
Haryana,Panipat,Cyber Crime,Legal Clinic - Panipat 43,Legal Clinic,+91-8656111441,Cyber Crime Panipat Haryana
Maharashtra,Pune,Domestic Violence,Women's Helpline - Pune 56,Women's Helpline,+91-8103913618,Domestic Violence Pune Maharashtra
Jammu & Kashmir,Jammu,Dowry,Women's Helpline - Jammu 99,Women's Helpline,+91-9101589001,Dowry Jammu Jammu & Kashmir
Karnataka,Bengaluru,Dowry,Childline - Bengaluru 41,Childline,+91-8037474320,Dowry Bengaluru Karnataka
Kerala,Kozhikode,Senior Citizen Abuse,District Legal Services Authority - Kozhikode 7,District Legal Services Authority,+91-9266944189,Senior Citizen Abuse Kozhikode Kerala
West Bengal,Howrah,Caste Discrimination,Cyber Helpline - Howrah 14,Cyber Helpline,+91-9483596106,Caste Discrimination Howrah West Bengal
Madhya Pradesh,Indore,Domestic Violence,Legal Clinic - Indore 16,Legal Clinic,+91-8171795595,Domestic Violence Indore Madhya Pradesh
Karnataka,Mangalore,Cyber Crime,Childline - Mangalore 82,Childline,+91-8578696953,Cyber Crime Mangalore Karnataka
Uttar Pradesh,Varanasi,Property Dispute,Elder Help NGO - Varanasi 3,Elder Help NGO,+91-8899440021,Property Dispute Varanasi Uttar Pradesh
Gujarat,Vadodara,Cyber Crime,Legal Aid NGO - Vadodara 25,Legal Aid NGO,+91-7387381573,Cyber Crime Vadodara Gujarat
Andhra Pradesh,Guntur,Caste Discrimination,Elder Help NGO - Guntur 45,Elder Help NGO,+91-7218330803,Caste Discrimination Guntur Andhra Pradesh
Kerala,Thiruvananthapuram,Property Dispute,District Legal Services Authority - Thiruvananthapuram 32,District Legal Services Authority,+91-9283498979,Property Dispute Thiruvananthapuram Kerala
Kerala,Kozhikode,Dowry,Cyber Helpline - Kozhikode 56,Cyber Helpline,+91-9575587473,Dowry Kozhikode Kerala
Rajasthan,Jaipur,Senior Citizen Abuse,Women's Helpline - Jaipur 3,Women's Helpline,+91-8683960427,Senior Citizen Abuse Jaipur Rajasthan
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Elder Help NGO - Visakhapatnam 6,Elder Help NGO,+91-9993417271,Caste Discrimination Visakhapatnam Andhra Pradesh
Chhattisgarh,Bilaspur,Child Abuse,Legal Clinic - Bilaspur 88,Legal Clinic,+91-9071879821,Child Abuse Bilaspur Chhattisgarh
Kerala,Thiruvananthapuram,Cyber Crime,Legal Clinic - Thiruvananthapuram 17,Legal Clinic,+91-8162324810,Cyber Crime Thiruvananthapuram Kerala
Assam,Silchar,Senior Citizen Abuse,Childline - Silchar 75,Childline,+91-7912558114,Senior Citizen Abuse Silchar Assam
Kerala,Thiruvananthapuram,Domestic Violence,Cyber Helpline - Thiruvananthapuram 22,Cyber Helpline,+91-9318468570,Domestic Violence Thiruvananthapuram Kerala
Jharkhand,Jamshedpur,Sexual Harassment,Legal Aid NGO - Jamshedpur 50,Legal Aid NGO,+91-8430792301,Sexual Harassment Jamshedpur Jharkhand
Gujarat,Ahmedabad,Property Dispute,Cyber Helpline - Ahmedabad 2,Cyber Helpline,+91-8254529308,Property Dispute Ahmedabad Gujarat
Gujarat,Vadodara,Caste Discrimination,District Legal Services Authority - Vadodara 27,District Legal Services Authority,+91-7504820394,Caste Discrimination Vadodara Gujarat
Uttar Pradesh,Kanpur,Dowry,Women's Helpline - Kanpur 12,Women's Helpline,+91-9206958569,Dowry Kanpur Uttar Pradesh
Chhattisgarh,Durg,Property Dispute,Childline - Durg 78,Childline,+91-8915559042,Property Dispute Durg Chhattisgarh
West Bengal,Howrah,Property Dispute,Childline - Howrah 79,Childline,+91-9501727794,Property Dispute Howrah West Bengal
Bihar,Gaya,Sexual Harassment,Women's Helpline - Gaya 48,Women's Helpline,+91-8860292203,Sexual Harassment Gaya Bihar
Tamil Nadu,Madurai,Cyber Crime,Women's Helpline - Madurai 84,Women's Helpline,+91-7441521741,Cyber Crime Madurai Tamil Nadu
Bihar,Patna,Domestic Violence,Legal Clinic - Patna 10,Legal Clinic,+91-8576507149,Domestic Violence Patna Bihar
Karnataka,Bengaluru,Sexual Harassment,Elder Help NGO - Bengaluru 49,Elder Help NGO,+91-9022024060,Sexual Harassment Bengaluru Karnataka
Haryana,Panipat,Sexual Harassment,Legal Aid NGO - Panipat 56,Legal Aid NGO,+91-8322863733,Sexual Harassment Panipat Haryana
Gujarat,Vadodara,Child Abuse,Women's Helpline - Vadodara 31,Women's Helpline,+91-7421406826,Child Abuse Vadodara Gujarat
Kerala,Thiruvananthapuram,Sexual Harassment,Cyber Helpline - Thiruvananthapuram 48,Cyber Helpline,+91-7471380064,Sexual Harassment Thiruvananthapuram Kerala
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Elder Help NGO - Visakhapatnam 34,Elder Help NGO,+91-8534829314,Caste Discrimination Visakhapatnam Andhra Pradesh
Maharashtra,Pune,Caste Discrimination,District Legal Services Authority - Pune 98,District Legal Services Authority,+91-9781651153,Caste Discrimination Pune Maharashtra
Gujarat,Vadodara,Sexual Harassment,Women's Helpline - Vadodara 58,Women's Helpline,+91-9544937532,Sexual Harassment Vadodara Gujarat
Tamil Nadu,Madurai,Cyber Crime,Legal Aid NGO - Madurai 57,Legal Aid NGO,+91-7110311615,Cyber Crime Madurai Tamil Nadu
Telangana,Hyderabad,Property Dispute,Elder Help NGO - Hyderabad 40,Elder Help NGO,+91-8421814747,Property Dispute Hyderabad Telangana
Punjab,Ludhiana,Dowry,Legal Clinic - Ludhiana 44,Legal Clinic,+91-7349759037,Dowry Ludhiana Punjab
Maharashtra,Nagpur,Caste Discrimination,Legal Clinic - Nagpur 78,Legal Clinic,+91-7741056414,Caste Discrimination Nagpur Maharashtra
Assam,Guwahati,Dowry,Cyber Helpline - Guwahati 85,Cyber Helpline,+91-7269291182,Dowry Guwahati Assam
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Childline - Visakhapatnam 84,Childline,+91-7432806286,Sexual Harassment Visakhapatnam Andhra Pradesh
Bihar,Patna,Dowry,Legal Clinic - Patna 93,Legal Clinic,+91-7693889252,Dowry Patna Bihar
West Bengal,Howrah,Caste Discrimination,Legal Aid NGO - Howrah 93,Legal Aid NGO,+91-7053695015,Caste Discrimination Howrah West Bengal
Jammu & Kashmir,Srinagar,Caste Discrimination,Legal Aid NGO - Srinagar 30,Legal Aid NGO,+91-7990900826,Caste Discrimination Srinagar Jammu & Kashmir
Uttar Pradesh,Lucknow,Dowry,Elder Help NGO - Lucknow 71,Elder Help NGO,+91-8510421394,Dowry Lucknow Uttar Pradesh
Delhi,New Delhi,Dowry,Legal Aid NGO - New Delhi 83,Legal Aid NGO,+91-9465213873,Dowry New Delhi Delhi
Delhi,New Delhi,Cyber Crime,District Legal Services Authority - New Delhi 23,District Legal Services Authority,+91-9628016330,Cyber Crime New Delhi Delhi
Odisha,Bhubaneswar,Sexual Harassment,Women's Helpline - Bhubaneswar 13,Women's Helpline,+91-7352229556,Sexual Harassment Bhubaneswar Odisha
Bihar,Gaya,Child Abuse,Legal Aid NGO - Gaya 66,Legal Aid NGO,+91-8120779560,Child Abuse Gaya Bihar
Andhra Pradesh,Guntur,Cyber Crime,District Legal Services Authority - Guntur 44,District Legal Services Authority,+91-8630632885,Cyber Crime Guntur Andhra Pradesh
Assam,Silchar,Cyber Crime,Women's Helpline - Silchar 27,Women's Helpline,+91-7018027343,Cyber Crime Silchar Assam
Karnataka,Mysore,Sexual Harassment,Women's Helpline - Mysore 89,Women's Helpline,+91-9674414909,Sexual Harassment Mysore Karnataka
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Women's Helpline - Kanpur 35,Women's Helpline,+91-7436018947,Senior Citizen Abuse Kanpur Uttar Pradesh
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 37,District Legal Services Authority,+91-7709385566,Dowry Coimbatore Tamil Nadu
Chhattisgarh,Raipur,Property Dispute,Elder Help NGO - Raipur 48,Elder Help NGO,+91-7865912771,Property Dispute Raipur Chhattisgarh
Haryana,Faridabad,Cyber Crime,Legal Aid NGO - Faridabad 21,Legal Aid NGO,+91-8418127546,Cyber Crime Faridabad Haryana
Jammu & Kashmir,Jammu,Domestic Violence,Elder Help NGO - Jammu 94,Elder Help NGO,+91-8857099508,Domestic Violence Jammu Jammu & Kashmir
Gujarat,Surat,Cyber Crime,Legal Aid NGO - Surat 12,Legal Aid NGO,+91-8063205082,Cyber Crime Surat Gujarat
Bihar,Patna,Senior Citizen Abuse,Cyber Helpline - Patna 87,Cyber Helpline,+91-7899280857,Senior Citizen Abuse Patna Bihar
Chhattisgarh,Durg,Child Abuse,Cyber Helpline - Durg 12,Cyber Helpline,+91-9681086772,Child Abuse Durg Chhattisgarh
Bihar,Patna,Sexual Harassment,Elder Help NGO - Patna 2,Elder Help NGO,+91-8543904373,Sexual Harassment Patna Bihar
Punjab,Ludhiana,Senior Citizen Abuse,Elder Help NGO - Ludhiana 80,Elder Help NGO,+91-8234294829,Senior Citizen Abuse Ludhiana Punjab
Punjab,Ludhiana,Caste Discrimination,Women's Helpline - Ludhiana 31,Women's Helpline,+91-8816858422,Caste Discrimination Ludhiana Punjab
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Cyber Helpline - Lucknow 99,Cyber Helpline,+91-9520380697,Senior Citizen Abuse Lucknow Uttar Pradesh
Maharashtra,Mumbai,Dowry,District Legal Services Authority - Mumbai 5,District Legal Services Authority,+91-9773987237,Dowry Mumbai Maharashtra
Jammu & Kashmir,Srinagar,Sexual Harassment,Women's Helpline - Srinagar 59,Women's Helpline,+91-9661348092,Sexual Harassment Srinagar Jammu & Kashmir
Delhi,New Delhi,Senior Citizen Abuse,Cyber Helpline - New Delhi 78,Cyber Helpline,+91-9111581167,Senior Citizen Abuse New Delhi Delhi
Bihar,Bhagalpur,Caste Discrimination,Childline - Bhagalpur 73,Childline,+91-8618562714,Caste Discrimination Bhagalpur Bihar
Maharashtra,Mumbai,Dowry,Cyber Helpline - Mumbai 76,Cyber Helpline,+91-7827181863,Dowry Mumbai Maharashtra
Bihar,Bhagalpur,Child Abuse,District Legal Services Authority - Bhagalpur 93,District Legal Services Authority,+91-7309461267,Child Abuse Bhagalpur Bihar
Rajasthan,Jaipur,Caste Discrimination,Women's Helpline - Jaipur 53,Women's Helpline,+91-7834436857,Caste Discrimination Jaipur Rajasthan
West Bengal,Siliguri,Child Abuse,Elder Help NGO - Siliguri 99,Elder Help NGO,+91-7056535556,Child Abuse Siliguri West Bengal
Andhra Pradesh,Visakhapatnam,Domestic Violence,Women's Helpline - Visakhapatnam 3,Women's Helpline,+91-7727936484,Domestic Violence Visakhapatnam Andhra Pradesh
Assam,Dibrugarh,Sexual Harassment,District Legal Services Authority - Dibrugarh 52,District Legal Services Authority,+91-9411813929,Sexual Harassment Dibrugarh Assam
Jharkhand,Jamshedpur,Caste Discrimination,Legal Clinic - Jamshedpur 81,Legal Clinic,+91-8978650059,Caste Discrimination Jamshedpur Jharkhand
Gujarat,Ahmedabad,Sexual Harassment,Legal Aid NGO - Ahmedabad 72,Legal Aid NGO,+91-7502598022,Sexual Harassment Ahmedabad Gujarat
Maharashtra,Pune,Dowry,Legal Clinic - Pune 94,Legal Clinic,+91-8074430364,Dowry Pune Maharashtra
Assam,Guwahati,Domestic Violence,District Legal Services Authority - Guwahati 86,District Legal Services Authority,+91-8850590086,Domestic Violence Guwahati Assam
Gujarat,Vadodara,Child Abuse,Cyber Helpline - Vadodara 29,Cyber Helpline,+91-8355091342,Child Abuse Vadodara Gujarat
West Bengal,Kolkata,Caste Discrimination,Legal Aid NGO - Kolkata 5,Legal Aid NGO,+91-7581929424,Caste Discrimination Kolkata West Bengal
Bihar,Gaya,Cyber Crime,Elder Help NGO - Gaya 2,Elder Help NGO,+91-9716925986,Cyber Crime Gaya Bihar
Jharkhand,Ranchi,Child Abuse,Cyber Helpline - Ranchi 50,Cyber Helpline,+91-9395047805,Child Abuse Ranchi Jharkhand
Delhi,New Delhi,Cyber Crime,Women's Helpline - New Delhi 37,Women's Helpline,+91-7880039182,Cyber Crime New Delhi Delhi
Jammu & Kashmir,Srinagar,Cyber Crime,Cyber Helpline - Srinagar 70,Cyber Helpline,+91-7821496741,Cyber Crime Srinagar Jammu & Kashmir
Maharashtra,Nagpur,Child Abuse,Women's Helpline - Nagpur 92,Women's Helpline,+91-7419196275,Child Abuse Nagpur Maharashtra
Karnataka,Mysore,Property Dispute,Legal Aid NGO - Mysore 38,Legal Aid NGO,+91-7484482808,Property Dispute Mysore Karnataka
