State,City,Case_Type,Resource_Name,Resource_Type,Contact
Odisha,Bhubaneswar,Child Abuse,Legal Clinic - Bhubaneswar 66,Legal Clinic,+91-9537993650
Delhi,New Delhi,Cyber Crime,Childline - New Delhi 82,Childline,+91-7266116169
Uttar Pradesh,Kanpur,Caste Discrimination,Elder Help NGO - Kanpur 23,Elder Help NGO,+91-8838944805
Chhattisgarh,Durg,Sexual Harassment,Women's Helpline - Durg 87,Women's Helpline,+91-7069717771
Maharashtra,Pune,Child Abuse,Legal Clinic - Pune 73,Legal Clinic,+91-7828818329
Punjab,Amritsar,Caste Discrimination,Cyber Helpline - Amritsar 48,Cyber Helpline,+91-7535785152
Telangana,Nizamabad,Property Dispute,Elder Help NGO - Nizamabad 83,Elder Help NGO,+91-7805119886
Tamil Nadu,Coimbatore,Sexual Harassment,Legal Aid NGO - Coimbatore 77,Legal Aid NGO,+91-8295620291
Delhi,New Delhi,Property Dispute,Elder Help NGO - New Delhi 88,Elder Help NGO,+91-9584180998
Maharashtra,Nagpur,Child Abuse,Elder Help NGO - Nagpur 13,Elder Help NGO,+91-9044625135
Bihar,Gaya,Child Abuse,District Legal Services Authority - Gaya 47,District Legal Services Authority,+91-7966617431
Assam,Silchar,Property Dispute,Legal Clinic - Silchar 50,Legal Clinic,+91-9391602032
Gujarat,Surat,Property Dispute,Elder Help NGO - Surat 82,Elder Help NGO,+91-7807671391
Jammu & Kashmir,Jammu,Caste Discrimination,Legal Aid NGO - Jammu 8,Legal Aid NGO,+91-8163263432
West Bengal,Siliguri,Domestic Violence,District Legal Services Authority - Siliguri 49,District Legal Services Authority,+91-9574162815
Assam,Silchar,Senior Citizen Abuse,Childline - Silchar 87,Childline,+91-9132816324
Madhya Pradesh,Bhopal,Sexual Harassment,Legal Clinic - Bhopal 78,Legal Clinic,+91-8577498427
Madhya Pradesh,Jabalpur,Property Dispute,Legal Aid NGO - Jabalpur 81,Legal Aid NGO,+91-8547891009
Assam,Silchar,Sexual Harassment,District Legal Services Authority - Silchar 89,District Legal Services Authority,+91-8347641757
Gujarat,Vadodara,Senior Citizen Abuse,Legal Clinic - Vadodara 85,Legal Clinic,+91-8428972070
Jharkhand,Jamshedpur,Sexual Harassment,Legal Clinic - Jamshedpur 13,Legal Clinic,+91-9594697364
Rajasthan,Jaipur,Cyber Crime,District Legal Services Authority - Jaipur 3,District Legal Services Authority,+91-8100144580
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Women's Helpline - Visakhapatnam 19,Women's Helpline,+91-9777563072
Punjab,Ludhiana,Cyber Crime,Legal Aid NGO - Ludhiana 71,Legal Aid NGO,+91-9586175042
Kerala,Thiruvananthapuram,Domestic Violence,Women's Helpline - Thiruvananthapuram 35,Women's Helpline,+91-8559780685
Delhi,New Delhi,Dowry,District Legal Services Authority - New Delhi 42,District Legal Services Authority,+91-8890958601
Punjab,Amritsar,Senior Citizen Abuse,Legal Clinic - Amritsar 37,Legal Clinic,+91-9231665565
Jammu & Kashmir,Jammu,Sexual Harassment,Elder Help NGO - Jammu 54,Elder Help NGO,+91-8801132820
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 93,District Legal Services Authority,+91-7033586395
Odisha,Bhubaneswar,Caste Discrimination,Legal Clinic - Bhubaneswar 85,Legal Clinic,+91-8926346288
Odisha,Rourkela,Sexual Harassment,Cyber Helpline - Rourkela 49,Cyber Helpline,+91-9690038996
Uttar Pradesh,Varanasi,Domestic Violence,Elder Help NGO - Varanasi 60,Elder Help NGO,+91-9773499621
West Bengal,Siliguri,Dowry,District Legal Services Authority - Siliguri 26,District Legal Services Authority,+91-8425471002
Odisha,Cuttack,Property Dispute,Childline - Cuttack 65,Childline,+91-8471740395
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 91,Legal Aid NGO,+91-7722353429
Punjab,Amritsar,Dowry,Cyber Helpline - Amritsar 10,Cyber Helpline,+91-7251354503
Haryana,Panipat,Cyber Crime,Legal Clinic - Panipat 43,Legal Clinic,+91-8656111441
Maharashtra,Pune,Domestic Violence,Women's Helpline - Pune 56,Women's Helpline,+91-8103913618
Jammu & Kashmir,Jammu,Dowry,Women's Helpline - Jammu 99,Women's Helpline,+91-9101589001
Karnataka,Bengaluru,Dowry,Childline - Bengaluru 41,Childline,+91-8037474320
Kerala,Kozhikode,Senior Citizen Abuse,District Legal Services Authority - Kozhikode 7,District Legal Services Authority,+91-9266944189
West Bengal,Howrah,Caste Discrimination,Cyber Helpline - Howrah 14,Cyber Helpline,+91-9483596106
Madhya Pradesh,Indore,Domestic Violence,Legal Clinic - Indore 16,Legal Clinic,+91-8171795595
Karnataka,Mangalore,Cyber Crime,Childline - Mangalore 82,Childline,+91-8578696953
Uttar Pradesh,Varanasi,Property Dispute,Elder Help NGO - Varanasi 3,Elder Help NGO,+91-8899440021
Gujarat,Vadodara,Cyber Crime,Legal Aid NGO - Vadodara 25,Legal Aid NGO,+91-7387381573
Andhra Pradesh,Guntur,Caste Discrimination,Elder Help NGO - Guntur 45,Elder Help NGO,+91-7218330803
Kerala,Thiruvananthapuram,Property Dispute,District Legal Services Authority - Thiruvananthapuram 32,District Legal Services Authority,+91-9283498979
Kerala,Kozhikode,Dowry,Cyber Helpline - Kozhikode 56,Cyber Helpline,+91-9575587473
Rajasthan,Jaipur,Senior Citizen Abuse,Women's Helpline - Jaipur 3,Women's Helpline,+91-8683960427
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Elder Help NGO - Visakhapatnam 6,Elder Help NGO,+91-9993417271
Chhattisgarh,Bilaspur,Child Abuse,Legal Clinic - Bilaspur 88,Legal Clinic,+91-9071879821
Kerala,Thiruvananthapuram,Cyber Crime,Legal Clinic - Thiruvananthapuram 17,Legal Clinic,+91-8162324810
Assam,Silchar,Senior Citizen Abuse,Childline - Silchar 75,Childline,+91-7912558114
Kerala,Thiruvananthapuram,Domestic Violence,Cyber Helpline - Thiruvananthapuram 22,Cyber Helpline,+91-9318468570
Jharkhand,Jamshedpur,Sexual Harassment,Legal Aid NGO - Jamshedpur 50,Legal Aid NGO,+91-8430792301
Gujarat,Ahmedabad,Property Dispute,Cyber Helpline - Ahmedabad 2,Cyber Helpline,+91-8254529308
Gujarat,Vadodara,Caste Discrimination,District Legal Services Authority - Vadodara 27,District Legal Services Authority,+91-7504820394
Uttar Pradesh,Kanpur,Dowry,Women's Helpline - Kanpur 12,Women's Helpline,+91-9206958569
Chhattisgarh,Durg,Property Dispute,Childline - Durg 78,Childline,+91-8915559042
West Bengal,Howrah,Property Dispute,Childline - Howrah 79,Childline,+91-9501727794
Bihar,Gaya,Sexual Harassment,Women's Helpline - Gaya 48,Women's Helpline,+91-8860292203
Tamil Nadu,Madurai,Cyber Crime,Women's Helpline - Madurai 84,Women's Helpline,+91-7441521741
Bihar,Patna,Domestic Violence,Legal Clinic - Patna 10,Legal Clinic,+91-8576507149
Karnataka,Bengaluru,Sexual Harassment,Elder Help NGO - Bengaluru 49,Elder Help NGO,+91-9022024060
Haryana,Panipat,Sexual Harassment,Legal Aid NGO - Panipat 56,Legal Aid NGO,+91-8322863733
Gujarat,Vadodara,Child Abuse,Women's Helpline - Vadodara 31,Women's Helpline,+91-7421406826
Kerala,Thiruvananthapuram,Sexual Harassment,Cyber Helpline - Thiruvananthapuram 48,Cyber Helpline,+91-7471380064
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Elder Help NGO - Visakhapatnam 34,Elder Help NGO,+91-8534829314
Maharashtra,Pune,Caste Discrimination,District Legal Services Authority - Pune 98,District Legal Services Authority,+91-9781651153
Gujarat,Vadodara,Sexual Harassment,Women's Helpline - Vadodara 58,Women's Helpline,+91-9544937532
Tamil Nadu,Madurai,Cyber Crime,Legal Aid NGO - Madurai 57,Legal Aid NGO,+91-7110311615
Telangana,Hyderabad,Property Dispute,Elder Help NGO - Hyderabad 40,Elder Help NGO,+91-8421814747
Punjab,Ludhiana,Dowry,Legal Clinic - Ludhiana 44,Legal Clinic,+91-7349759037
Maharashtra,Nagpur,Caste Discrimination,Legal Clinic - Nagpur 78,Legal Clinic,+91-7741056414
Assam,Guwahati,Dowry,Cyber Helpline - Guwahati 85,Cyber Helpline,+91-7269291182
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Childline - Visakhapatnam 84,Childline,+91-7432806286
Bihar,Patna,Dowry,Legal Clinic - Patna 93,Legal Clinic,+91-7693889252
West Bengal,Howrah,Caste Discrimination,Legal Aid NGO - Howrah 93,Legal Aid NGO,+91-7053695015
Jammu & Kashmir,Srinagar,Caste Discrimination,Legal Aid NGO - Srinagar 30,Legal Aid NGO,+91-7990900826
Uttar Pradesh,Lucknow,Dowry,Elder Help NGO - Lucknow 71,Elder Help NGO,+91-8510421394
Delhi,New Delhi,Dowry,Legal Aid NGO - New Delhi 83,Legal Aid NGO,+91-9465213873
Delhi,New Delhi,Cyber Crime,District Legal Services Authority - New Delhi 23,District Legal Services Authority,+91-9628016330
Odisha,Bhubaneswar,Sexual Harassment,Women's Helpline - Bhubaneswar 13,Women's Helpline,+91-7352229556
Bihar,Gaya,Child Abuse,Legal Aid NGO - Gaya 66,Legal Aid NGO,+91-8120779560
Andhra Pradesh,Guntur,Cyber Crime,District Legal Services Authority - Guntur 44,District Legal Services Authority,+91-8630632885
Assam,Silchar,Cyber Crime,Women's Helpline - Silchar 27,Women's Helpline,+91-7018027343
Karnataka,Mysore,Sexual Harassment,Women's Helpline - Mysore 89,Women's Helpline,+91-9674414909
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Women's Helpline - Kanpur 35,Women's Helpline,+91-7436018947
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 37,District Legal Services Authority,+91-7709385566
Chhattisgarh,Raipur,Property Dispute,Elder Help NGO - Raipur 48,Elder Help NGO,+91-7865912771
Haryana,Faridabad,Cyber Crime,Legal Aid NGO - Faridabad 21,Legal Aid NGO,+91-8418127546
Jammu & Kashmir,Jammu,Domestic Violence,Elder Help NGO - Jammu 94,Elder Help NGO,+91-8857099508
Gujarat,Surat,Cyber Crime,Legal Aid NGO - Surat 12,Legal Aid NGO,+91-8063205082
Bihar,Patna,Senior Citizen Abuse,Cyber Helpline - Patna 87,Cyber Helpline,+91-7899280857
Chhattisgarh,Durg,Child Abuse,Cyber Helpline - Durg 12,Cyber Helpline,+91-9681086772
Bihar,Patna,Sexual Harassment,Elder Help NGO - Patna 2,Elder Help NGO,+91-8543904373
Punjab,Ludhiana,Senior Citizen Abuse,Elder Help NGO - Ludhiana 80,Elder Help NGO,+91-8234294829
Punjab,Ludhiana,Caste Discrimination,Women's Helpline - Ludhiana 31,Women's Helpline,+91-8816858422
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Cyber Helpline - Lucknow 99,Cyber Helpline,+91-9520380697
Maharashtra,Mumbai,Dowry,District Legal Services Authority - Mumbai 5,District Legal Services Authority,+91-9773987237
Jammu & Kashmir,Srinagar,Sexual Harassment,Women's Helpline - Srinagar 59,Women's Helpline,+91-9661348092
Delhi,New Delhi,Senior Citizen Abuse,Cyber Helpline - New Delhi 78,Cyber Helpline,+91-9111581167
Bihar,Bhagalpur,Caste Discrimination,Childline - Bhagalpur 73,Childline,+91-8618562714
Maharashtra,Mumbai,Dowry,Cyber Helpline - Mumbai 76,Cyber Helpline,+91-7827181863
Bihar,Bhagalpur,Child Abuse,District Legal Services Authority - Bhagalpur 93,District Legal Services Authority,+91-7309461267
Rajasthan,Jaipur,Caste Discrimination,Women's Helpline - Jaipur 53,Women's Helpline,+91-7834436857
West Bengal,Siliguri,Child Abuse,Elder Help NGO - Siliguri 99,Elder Help NGO,+91-7056535556
Andhra Pradesh,Visakhapatnam,Domestic Violence,Women's Helpline - Visakhapatnam 3,Women's Helpline,+91-7727936484
Assam,Dibrugarh,Sexual Harassment,District Legal Services Authority - Dibrugarh 52,District Legal Services Authority,+91-9411813929
Jharkhand,Jamshedpur,Caste Discrimination,Legal Clinic - Jamshedpur 81,Legal Clinic,+91-8978650059
Gujarat,Ahmedabad,Sexual Harassment,Legal Aid NGO - Ahmedabad 72,Legal Aid NGO,+91-7502598022
Maharashtra,Pune,Dowry,Legal Clinic - Pune 94,Legal Clinic,+91-8074430364
Assam,Guwahati,Domestic Violence,District Legal Services Authority - Guwahati 86,District Legal Services Authority,+91-8850590086
Gujarat,Vadodara,Child Abuse,Cyber Helpline - Vadodara 29,Cyber Helpline,+91-8355091342
West Bengal,Kolkata,Caste Discrimination,Legal Aid NGO - Kolkata 5,Legal Aid NGO,+91-7581929424
Bihar,Gaya,Cyber Crime,Elder Help NGO - Gaya 2,Elder Help NGO,+91-9716925986
Jharkhand,Ranchi,Child Abuse,Cyber Helpline - Ranchi 50,Cyber Helpline,+91-9395047805
Delhi,New Delhi,Cyber Crime,Women's Helpline - New Delhi 37,Women's Helpline,+91-7880039182
Jammu & Kashmir,Srinagar,Cyber Crime,Cyber Helpline - Srinagar 70,Cyber Helpline,+91-7821496741
Maharashtra,Nagpur,Child Abuse,Women's Helpline - Nagpur 92,Women's Helpline,+91-7419196275
Karnataka,Mysore,Property Dispute,Legal Aid NGO - Mysore 38,Legal Aid NGO,+91-7484482808
Odisha,Bhubaneswar,Caste Discrimination,Elder Help NGO - Bhubaneswar 98,Elder Help NGO,+91-8762515770
Maharashtra,Nagpur,Dowry,Elder Help NGO - Nagpur 85,Elder Help NGO,+91-7966814624
Assam,Dibrugarh,Caste Discrimination,Legal Aid NGO - Dibrugarh 40,Legal Aid NGO,+91-7387852138
Assam,Silchar,Cyber Crime,Women's Helpline - Silchar 69,Women's Helpline,+91-7176952544
Tamil Nadu,Chennai,Child Abuse,Legal Clinic - Chennai 54,Legal Clinic,+91-9685146885
West Bengal,Kolkata,Cyber Crime,Legal Aid NGO - Kolkata 45,Legal Aid NGO,+91-7392968010
Tamil Nadu,Chennai,Cyber Crime,Women's Helpline - Chennai 17,Women's Helpline,+91-7001009691
Madhya Pradesh,Bhopal,Domestic Violence,Legal Aid NGO - Bhopal 75,Legal Aid NGO,+91-9304686494
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 47,Cyber Helpline,+91-8255689773
Assam,Dibrugarh,Sexual Harassment,Women's Helpline - Dibrugarh 16,Women's Helpline,+91-9629063007
Karnataka,Mangalore,Property Dispute,Legal Clinic - Mangalore 74,Legal Clinic,+91-9389433861
Telangana,Warangal,Property Dispute,Childline - Warangal 82,Childline,+91-9750245798
Assam,Dibrugarh,Property Dispute,Women's Helpline - Dibrugarh 95,Women's Helpline,+91-7831144781
Rajasthan,Jodhpur,Caste Discrimination,District Legal Services Authority - Jodhpur 27,District Legal Services Authority,+91-8823687726
Madhya Pradesh,Jabalpur,Cyber Crime,Childline - Jabalpur 87,Childline,+91-7707546461
Punjab,Ludhiana,Sexual Harassment,Elder Help NGO - Ludhiana 83,Elder Help NGO,+91-7178455001
West Bengal,Kolkata,Dowry,Legal Aid NGO - Kolkata 43,Legal Aid NGO,+91-9259955490
Telangana,Nizamabad,Dowry,District Legal Services Authority - Nizamabad 64,District Legal Services Authority,+91-9352969876
Karnataka,Bengaluru,Child Abuse,District Legal Services Authority - Bengaluru 61,District Legal Services Authority,+91-9112397163
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,Childline - Srinagar 77,Childline,+91-9781168270
Uttar Pradesh,Lucknow,Cyber Crime,Cyber Helpline - Lucknow 26,Cyber Helpline,+91-8797357512
Bihar,Bhagalpur,Domestic Violence,Cyber Helpline - Bhagalpur 63,Cyber Helpline,+91-8913718159
Odisha,Bhubaneswar,Sexual Harassment,Elder Help NGO - Bhubaneswar 20,Elder Help NGO,+91-9634886118
Haryana,Faridabad,Senior Citizen Abuse,District Legal Services Authority - Faridabad 51,District Legal Services Authority,+91-7878128615
Jammu & Kashmir,Srinagar,Property Dispute,Legal Clinic - Srinagar 14,Legal Clinic,+91-7206347132
Punjab,Chandigarh,Senior Citizen Abuse,Women's Helpline - Chandigarh 28,Women's Helpline,+91-7841067380
Chhattisgarh,Bilaspur,Dowry,Legal Aid NGO - Bilaspur 88,Legal Aid NGO,+91-7498524761
Chhattisgarh,Durg,Property Dispute,Elder Help NGO - Durg 69,Elder Help NGO,+91-8666023486
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 56,Cyber Helpline,+91-8339907583
Jharkhand,Dhanbad,Caste Discrimination,Legal Aid NGO - Dhanbad 75,Legal Aid NGO,+91-9422629059
Chhattisgarh,Raipur,Domestic Violence,Legal Clinic - Raipur 1,Legal Clinic,+91-7990992178
Bihar,Patna,Cyber Crime,Women's Helpline - Patna 9,Women's Helpline,+91-9732489702
Rajasthan,Jaipur,Cyber Crime,District Legal Services Authority - Jaipur 53,District Legal Services Authority,+91-9644656384
Uttar Pradesh,Lucknow,Cyber Crime,Cyber Helpline - Lucknow 12,Cyber Helpline,+91-7953595008
Karnataka,Mangalore,Sexual Harassment,Elder Help NGO - Mangalore 74,Elder Help NGO,+91-8087384048
Rajasthan,Jaipur,Sexual Harassment,District Legal Services Authority - Jaipur 25,District Legal Services Authority,+91-7159809799
West Bengal,Kolkata,Domestic Violence,Legal Clinic - Kolkata 39,Legal Clinic,+91-7356785291
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Legal Clinic - Visakhapatnam 71,Legal Clinic,+91-9333508021
West Bengal,Howrah,Domestic Violence,Legal Aid NGO - Howrah 77,Legal Aid NGO,+91-9466650170
Karnataka,Mangalore,Property Dispute,Legal Clinic - Mangalore 28,Legal Clinic,+91-7051345810
Jharkhand,Jamshedpur,Cyber Crime,Cyber Helpline - Jamshedpur 22,Cyber Helpline,+91-8264312177
Assam,Dibrugarh,Child Abuse,Women's Helpline - Dibrugarh 28,Women's Helpline,+91-8608144986
Andhra Pradesh,Vijayawada,Senior Citizen Abuse,Legal Clinic - Vijayawada 43,Legal Clinic,+91-7212257679
Rajasthan,Jaipur,Dowry,Elder Help NGO - Jaipur 54,Elder Help NGO,+91-7228137839
Tamil Nadu,Coimbatore,Domestic Violence,Legal Aid NGO - Coimbatore 22,Legal Aid NGO,+91-9938948588
Rajasthan,Jaipur,Cyber Crime,Women's Helpline - Jaipur 74,Women's Helpline,+91-9602079632
Gujarat,Vadodara,Child Abuse,Women's Helpline - Vadodara 19,Women's Helpline,+91-7568693986
Kerala,Thiruvananthapuram,Property Dispute,Women's Helpline - Thiruvananthapuram 89,Women's Helpline,+91-7988298180
Andhra Pradesh,Vijayawada,Dowry,Women's Helpline - Vijayawada 91,Women's Helpline,+91-9624919940
Jammu & Kashmir,Jammu,Senior Citizen Abuse,Legal Clinic - Jammu 87,Legal Clinic,+91-7456248568
Uttar Pradesh,Lucknow,Child Abuse,Childline - Lucknow 57,Childline,+91-7451738886
Kerala,Kozhikode,Caste Discrimination,Cyber Helpline - Kozhikode 16,Cyber Helpline,+91-9057276929
Rajasthan,Jaipur,Child Abuse,District Legal Services Authority - Jaipur 69,District Legal Services Authority,+91-8759140010
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 31,Cyber Helpline,+91-7629250102
Punjab,Chandigarh,Senior Citizen Abuse,Legal Clinic - Chandigarh 5,Legal Clinic,+91-7245613990
Punjab,Amritsar,Domestic Violence,Elder Help NGO - Amritsar 89,Elder Help NGO,+91-8331726025
Punjab,Chandigarh,Senior Citizen Abuse,Women's Helpline - Chandigarh 71,Women's Helpline,+91-9283888166
Assam,Guwahati,Caste Discrimination,Cyber Helpline - Guwahati 97,Cyber Helpline,+91-8825456742
Uttar Pradesh,Kanpur,Property Dispute,Elder Help NGO - Kanpur 48,Elder Help NGO,+91-8867657136
Delhi,New Delhi,Senior Citizen Abuse,Women's Helpline - New Delhi 67,Women's Helpline,+91-9176471313
Chhattisgarh,Raipur,Senior Citizen Abuse,Elder Help NGO - Raipur 96,Elder Help NGO,+91-8639078582
Kerala,Kochi,Child Abuse,District Legal Services Authority - Kochi 93,District Legal Services Authority,+91-7774003128
Uttar Pradesh,Kanpur,Caste Discrimination,Cyber Helpline - Kanpur 77,Cyber Helpline,+91-7069464603
Uttar Pradesh,Kanpur,Caste Discrimination,Legal Clinic - Kanpur 21,Legal Clinic,+91-7051785726
Assam,Dibrugarh,Caste Discrimination,Childline - Dibrugarh 72,Childline,+91-9050550593
Uttar Pradesh,Kanpur,Cyber Crime,Elder Help NGO - Kanpur 46,Elder Help NGO,+91-8333273832
Jharkhand,Dhanbad,Property Dispute,Cyber Helpline - Dhanbad 56,Cyber Helpline,+91-7420426541
Kerala,Kozhikode,Caste Discrimination,District Legal Services Authority - Kozhikode 60,District Legal Services Authority,+91-7317303388
Telangana,Hyderabad,Dowry,Cyber Helpline - Hyderabad 79,Cyber Helpline,+91-8785030070
Maharashtra,Pune,Cyber Crime,Elder Help NGO - Pune 24,Elder Help NGO,+91-9425973033
West Bengal,Kolkata,Cyber Crime,Legal Clinic - Kolkata 61,Legal Clinic,+91-9259308778
Karnataka,Mysore,Domestic Violence,Cyber Helpline - Mysore 58,Cyber Helpline,+91-8918673588
Kerala,Thiruvananthapuram,Dowry,Legal Aid NGO - Thiruvananthapuram 57,Legal Aid NGO,+91-9301560100
Uttar Pradesh,Kanpur,Child Abuse,District Legal Services Authority - Kanpur 33,District Legal Services Authority,+91-9604866258
Madhya Pradesh,Jabalpur,Sexual Harassment,Cyber Helpline - Jabalpur 77,Cyber Helpline,+91-7724899285
Bihar,Bhagalpur,Senior Citizen Abuse,Legal Aid NGO - Bhagalpur 64,Legal Aid NGO,+91-9235201318
West Bengal,Kolkata,Senior Citizen Abuse,Legal Clinic - Kolkata 66,Legal Clinic,+91-7152877033
West Bengal,Siliguri,Property Dispute,Legal Clinic - Siliguri 36,Legal Clinic,+91-9257235307
Jammu & Kashmir,Srinagar,Property Dispute,Legal Aid NGO - Srinagar 29,Legal Aid NGO,+91-7068378951
Kerala,Thiruvananthapuram,Property Dispute,Elder Help NGO - Thiruvananthapuram 5,Elder Help NGO,+91-7224613506
Andhra Pradesh,Vijayawada,Domestic Violence,Cyber Helpline - Vijayawada 9,Cyber Helpline,+91-7927997748
Telangana,Hyderabad,Senior Citizen Abuse,Elder Help NGO - Hyderabad 15,Elder Help NGO,+91-8240310896
Telangana,Warangal,Domestic Violence,Childline - Warangal 96,Childline,+91-9996196473
Kerala,Kochi,Dowry,Childline - Kochi 77,Childline,+91-9770539216
Gujarat,Surat,Cyber Crime,Legal Clinic - Surat 90,Legal Clinic,+91-7346750306
Delhi,New Delhi,Property Dispute,Childline - New Delhi 11,Childline,+91-8052068978
West Bengal,Siliguri,Domestic Violence,Childline - Siliguri 26,Childline,+91-7005949070
Kerala,Kochi,Dowry,Legal Aid NGO - Kochi 82,Legal Aid NGO,+91-7138648767
Tamil Nadu,Madurai,Dowry,District Legal Services Authority - Madurai 20,District Legal Services Authority,+91-9174918894
Karnataka,Bengaluru,Cyber Crime,Elder Help NGO - Bengaluru 12,Elder Help NGO,+91-7843408456
Delhi,New Delhi,Dowry,District Legal Services Authority - New Delhi 86,District Legal Services Authority,+91-7492726145
Gujarat,Ahmedabad,Cyber Crime,Elder Help NGO - Ahmedabad 85,Elder Help NGO,+91-9990532516
Jharkhand,Ranchi,Cyber Crime,Women's Helpline - Ranchi 9,Women's Helpline,+91-9699270290
Assam,Guwahati,Domestic Violence,Elder Help NGO - Guwahati 24,Elder Help NGO,+91-9187110361
Assam,Silchar,Caste Discrimination,Childline - Silchar 73,Childline,+91-8659671625
West Bengal,Howrah,Domestic Violence,Legal Aid NGO - Howrah 51,Legal Aid NGO,+91-7734915199
Rajasthan,Udaipur,Senior Citizen Abuse,Childline - Udaipur 51,Childline,+91-9762151009
Tamil Nadu,Madurai,Child Abuse,Elder Help NGO - Madurai 47,Elder Help NGO,+91-9581387149
Haryana,Faridabad,Caste Discrimination,Childline - Faridabad 46,Childline,+91-9233478616
Andhra Pradesh,Guntur,Sexual Harassment,Cyber Helpline - Guntur 10,Cyber Helpline,+91-9755136286
Madhya Pradesh,Jabalpur,Sexual Harassment,Childline - Jabalpur 20,Childline,+91-9114525651
Haryana,Panipat,Caste Discrimination,District Legal Services Authority - Panipat 24,District Legal Services Authority,+91-8578923677
Assam,Guwahati,Child Abuse,Legal Aid NGO - Guwahati 19,Legal Aid NGO,+91-9746494316
Jharkhand,Ranchi,Cyber Crime,Legal Aid NGO - Ranchi 54,Legal Aid NGO,+91-7761941581
Telangana,Warangal,Domestic Violence,Cyber Helpline - Warangal 29,Cyber Helpline,+91-7101699738
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 22,Legal Aid NGO,+91-9079886019
Jharkhand,Dhanbad,Dowry,Legal Clinic - Dhanbad 41,Legal Clinic,+91-9386114611
Kerala,Thiruvananthapuram,Sexual Harassment,Childline - Thiruvananthapuram 28,Childline,+91-9831173707
Assam,Silchar,Cyber Crime,Elder Help NGO - Silchar 15,Elder Help NGO,+91-9511427120
Odisha,Rourkela,Caste Discrimination,Childline - Rourkela 34,Childline,+91-8930886492
Haryana,Faridabad,Sexual Harassment,Cyber Helpline - Faridabad 18,Cyber Helpline,+91-8884051378
Rajasthan,Jaipur,Caste Discrimination,Childline - Jaipur 79,Childline,+91-9557103132
Kerala,Kochi,Child Abuse,District Legal Services Authority - Kochi 82,District Legal Services Authority,+91-9804915224
Punjab,Amritsar,Sexual Harassment,Cyber Helpline - Amritsar 91,Cyber Helpline,+91-7987764882
Haryana,Gurgaon,Property Dispute,Cyber Helpline - Gurgaon 14,Cyber Helpline,+91-7608967918
Maharashtra,Pune,Dowry,Cyber Helpline - Pune 9,Cyber Helpline,+91-9498599230
Chhattisgarh,Raipur,Senior Citizen Abuse,Cyber Helpline - Raipur 23,Cyber Helpline,+91-9373282211
Uttar Pradesh,Varanasi,Caste Discrimination,Legal Aid NGO - Varanasi 89,Legal Aid NGO,+91-9342394659
Haryana,Faridabad,Child Abuse,Cyber Helpline - Faridabad 72,Cyber Helpline,+91-7073331936
Chhattisgarh,Bilaspur,Senior Citizen Abuse,Cyber Helpline - Bilaspur 35,Cyber Helpline,+91-8258188271
Punjab,Amritsar,Domestic Violence,Elder Help NGO - Amritsar 79,Elder Help NGO,+91-8836377850
Madhya Pradesh,Jabalpur,Cyber Crime,Legal Clinic - Jabalpur 46,Legal Clinic,+91-9254061728
West Bengal,Howrah,Cyber Crime,Cyber Helpline - Howrah 9,Cyber Helpline,+91-8022341604
Uttar Pradesh,Varanasi,Property Dispute,Women's Helpline - Varanasi 30,Women's Helpline,+91-8824342832
Maharashtra,Nagpur,Senior Citizen Abuse,Cyber Helpline - Nagpur 65,Cyber Helpline,+91-7920033364
Andhra Pradesh,Guntur,Sexual Harassment,Cyber Helpline - Guntur 11,Cyber Helpline,+91-9804605548
Delhi,New Delhi,Child Abuse,Cyber Helpline - New Delhi 46,Cyber Helpline,+91-8076924805
Assam,Dibrugarh,Domestic Violence,Women's Helpline - Dibrugarh 25,Women's Helpline,+91-8819642268
Odisha,Rourkela,Property Dispute,Elder Help NGO - Rourkela 99,Elder Help NGO,+91-9424460194
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 55,Legal Aid NGO,+91-9924978065
West Bengal,Siliguri,Senior Citizen Abuse,Elder Help NGO - Siliguri 87,Elder Help NGO,+91-8054017139
Jammu & Kashmir,Jammu,Domestic Violence,Cyber Helpline - Jammu 77,Cyber Helpline,+91-9851773990
Karnataka,Mysore,Domestic Violence,Legal Aid NGO - Mysore 24,Legal Aid NGO,+91-7504671781
Gujarat,Vadodara,Senior Citizen Abuse,Legal Clinic - Vadodara 98,Legal Clinic,+91-8176168083
